phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
phase1,1,0.9774920519401638,0.5849056603773585,0.8847736992598494,0.6360153256704981,0.0009757729755661011
phase1,2,0.7163860002827508,0.7350287120590648,0.7245751674147858,0.6704980842911877,0.000905463412215599
phase1,3,0.6425749909887556,0.7596390484003281,0.6523895416679967,0.7126436781609196,0.0007959536998847742
phase1,4,0.5527210667839395,0.7981952420016407,0.5359780357943641,0.7931034482758621,0.000657963412215599
phase1,5,0.5144175200114199,0.8063986874487284,0.5424044426830336,0.7777777777777778,0.000505
phase1,6,0.49822099224478616,0.8178835110746514,0.5375538525453473,0.8160919540229885,0.0003520365877844011
phase1,7,0.5216950565405416,0.8187038556193601,0.5156282953832342,0.8160919540229885,0.00021404630011522585
phase1,8,0.4574567187116027,0.8351107465135357,0.45541479635512694,0.8237547892720306,0.00010453658778440107
phase1,9,0.432432461508578,0.8326497128794094,0.4598604903138917,0.8314176245210728,3.4227024433899005e-05
phase1,10,0.443084001296656,0.8408531583264971,0.45888292492577853,0.8314176245210728,1e-05
phase2,1,0.4768446561642804,0.8310090237899918,0.42110351949816005,0.8390804597701149,9.972883382072954e-05
phase2,2,0.39635362964462706,0.8654634946677605,0.403236106780297,0.8735632183908046,9.891830623632339e-05
phase2,3,0.31772210467927664,0.8835110746513536,0.42417265035183493,0.8697318007662835,9.757729755661011e-05
phase2,4,0.300453572010681,0.8999179655455292,0.33208398612294615,0.9042145593869731,9.572050015330873e-05
phase2,5,0.24349370892171102,0.911402789171452,0.33107058178647725,0.8888888888888888,9.336825748732972e-05
phase2,6,0.19250297042754363,0.933552091878589,0.3456051122982383,0.89272030651341,9.05463412215599e-05
phase2,7,0.20027520071785404,0.9327317473338802,0.3019743869473651,0.89272030651341,8.728566886113101e-05
phase2,8,0.17734064765036156,0.9425758818703855,0.3335359645186713,0.8888888888888888,8.362196501476347e-05
phase2,9,0.1444027604530638,0.9532403609515997,0.2824421287496428,0.9157088122605364,7.959536998847741e-05
phase2,10,0.15548236760401746,0.9499589827727646,0.2838078184888281,0.9042145593869731,7.524999999999999e-05
phase2,11,0.10300015542622568,0.9639048400328137,0.2991417299856171,0.9118773946360154,7.06334638322521e-05
phase2,12,0.12537475244445426,0.9565217391304348,0.3362161793471296,0.9118773946360154,6.579634122155988e-05
phase2,13,0.13034104788714104,0.9532403609515997,0.33340758427806283,0.9233716475095786,6.079162869547907e-05
phase2,14,0.1013662126511213,0.9663658736669402,0.34549923041314456,0.9118773946360154,5.567415893174884e-05
phase2,15,0.08145840609044301,0.9696472518457753,0.3275326242049535,0.9233716475095786,5.05e-05
phase2,16,0.08921208376274234,0.9671862182116489,0.4270399630255284,0.89272030651341,4.532584106825115e-05
phase2,17,0.10432295602692064,0.9647251845775225,0.3504676350974032,0.9042145593869731,4.0208371304520894e-05
phase2,18,0.0991152646333297,0.9655455291222313,0.39465597845699596,0.89272030651341,3.520365877844009e-05
phase2,19,0.08056823460658717,0.9671862182116489,0.3158143881808296,0.9080459770114943,3.036653616774789e-05
phase2,20,0.061479781174434804,0.9762100082034455,0.344552963401166,0.9080459770114943,2.5750000000000002e-05
phase2,21,0.06989998632615663,0.9745693191140279,0.3529457106786669,0.9080459770114943,2.140463001152258e-05
phase2,22,0.08221784932042263,0.9737489745693191,0.3466071437373472,0.9003831417624522,1.737803498523653e-05
phase2,23,0.05785771933788399,0.9835931091058244,0.3052321802325176,0.9118773946360154,1.3714331138868993e-05
phase2,24,0.046728013112370945,0.985233798195242,0.30474410966838,0.9080459770114943,1.0453658778440105e-05
phase2,25,0.05937216493856526,0.9786710418375718,0.3155725328715597,0.9118773946360154,7.631742512670283e-06
phase2,26,0.04657620074222868,0.985233798195242,0.3187967885670991,0.9042145593869731,5.2794998466912506e-06
phase2,27,0.046651615302053216,0.9827727645611156,0.315251432202214,0.9080459770114943,3.4227024433898994e-06
phase2,28,0.04589158152340865,0.9844134536505332,0.314001836810418,0.9118773946360154,2.0816937636766182e-06
phase2,29,0.04407611847461688,0.985233798195242,0.30950452196072803,0.9157088122605364,1.2711661792704665e-06
phase2,30,0.04325279381991019,0.9868744872846595,0.31010323283316077,0.9157088122605364,1e-06
