phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
phase1,1,1.1523492755803835,0.5102543068088597,0.9564691667812537,0.6130268199233716,0.0009757729755661011
phase1,2,0.928989130688848,0.6185397867104184,0.8301737084699317,0.6628352490421456,0.000905463412215599
phase1,3,0.8843545115585695,0.6488925348646432,0.819191614101673,0.6781609195402298,0.0007959536998847742
phase1,4,0.9214213545250052,0.6292042657916325,0.8161054956958669,0.6819923371647509,0.000657963412215599
phase1,5,0.8303345675298286,0.671862182116489,0.7594516944154469,0.7011494252873564,0.000505
phase1,6,0.8222488306212171,0.6767842493847416,0.7221081594854479,0.7432950191570882,0.0003520365877844011
phase1,7,0.8099932875468948,0.6890894175553732,0.6955090291883753,0.7432950191570882,0.00021404630011522585
phase1,8,0.7833212112382947,0.6981132075471698,0.7243466923063285,0.7241379310344828,0.00010453658778440107
phase1,9,0.7851417673915209,0.6964725184577523,0.7088317583347189,0.7203065134099617,3.4227024433899005e-05
phase1,10,0.7973144326276521,0.6800656275635767,0.7039425877775726,0.7394636015325671,1e-05
phase2,1,1.4531221080256642,0.40196882690730107,1.2322568669629737,0.4329501915708812,9.972883382072954e-05
phase2,2,1.2257969141299847,0.4692370795734208,1.1756740717138825,0.4329501915708812,9.891830623632339e-05
phase2,3,1.1528692777964598,0.5127153404429861,0.9105957463326582,0.5900383141762452,9.757729755661011e-05
phase2,4,1.122316898626808,0.527481542247744,1.1264904321838614,0.42911877394636017,9.572050015330873e-05
phase2,5,1.0737734972892774,0.5602953240360952,1.0273608012674411,0.6130268199233716,9.336825748732972e-05
phase2,6,0.8927295163970584,0.6759639048400328,0.8660327011141283,0.6704980842911877,9.05463412215599e-05
phase2,7,0.9146661541323079,0.6595570139458573,0.936142078989767,0.6283524904214559,8.728566886113101e-05
phase2,8,0.8785343920724914,0.6751435602953241,0.6723417916060408,0.7241379310344828,8.362196501476347e-05
phase2,9,0.7347657283431132,0.7432321575061526,0.8822465634894097,0.7049808429118773,7.959536998847741e-05
phase2,10,0.6935436730506089,0.7686628383921247,0.5913379926562766,0.7854406130268199,7.524999999999999e-05
phase2,11,0.6607536576731073,0.7686628383921247,0.5756798934662479,0.8007662835249042,7.06334638322521e-05
phase2,12,0.6411843957032601,0.7875307629204266,0.6250637783401314,0.7739463601532567,6.579634122155988e-05
phase2,13,0.5741751892484535,0.8096800656275636,0.6442551381914552,0.7854406130268199,6.079162869547907e-05
phase2,14,0.5321047211690845,0.822805578342904,0.45677810776050976,0.8505747126436781,5.567415893174884e-05
phase2,15,0.5492440825473391,0.8047579983593109,0.5465538967614887,0.7931034482758621,5.05e-05
phase2,16,0.4845891540611837,0.8285479901558654,0.5047531837590353,0.8122605363984674,4.532584106825115e-05
phase2,17,0.453090360709042,0.8359310910582445,0.4917118631560227,0.8352490421455939,4.0208371304520894e-05
phase2,18,0.4412572431462871,0.8465955701394585,0.555562262391222,0.8084291187739464,3.520365877844009e-05
phase2,19,0.40559642530910495,0.85233798195242,0.5181828093825629,0.8199233716475096,3.036653616774789e-05
phase2,20,0.3499397786580167,0.8794093519278097,0.41307584701598377,0.8697318007662835,2.5750000000000002e-05
phase2,21,0.3465724090836985,0.8785890073831009,0.48051815402918846,0.8199233716475096,2.140463001152258e-05
phase2,22,0.34171206844547325,0.8908941755537325,0.42139349296917405,0.8582375478927203,1.737803498523653e-05
phase2,23,0.3190576638033196,0.8941755537325676,0.4271069755670668,0.8544061302681992,1.3714331138868993e-05
phase2,24,0.2984383007323551,0.8949958982772764,0.4288386581501285,0.8505747126436781,1.0453658778440105e-05
phase2,25,0.26935280806905754,0.9097621000820345,0.39928952307650867,0.8314176245210728,7.631742512670283e-06
phase2,26,0.2667418529842602,0.9155045118949959,0.39533670206636307,0.8505747126436781,5.2794998466912506e-06
phase2,27,0.23671206927279942,0.9171452009844134,0.41252629076384034,0.8544061302681992,3.4227024433898994e-06
phase2,28,0.2531578305649737,0.9155045118949959,0.4141345407200042,0.842911877394636,2.0816937636766182e-06
phase2,29,0.22190831078428827,0.9278096800656276,0.42272126303550384,0.8544061302681992,1.2711661792704665e-06
phase2,30,0.23597763439638875,0.9179655455291222,0.4031701723962908,0.842911877394636,1e-06
