phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
phase1,1,1.2170992917560768,0.5094339622641509,1.05747992416908,0.6398467432950191,0.0009757729755661011
phase1,2,1.0092063241556495,0.6488925348646432,0.9383977747511589,0.6704980842911877,0.000905463412215599
phase1,3,0.9002165766012679,0.6800656275635767,0.859088007974442,0.6973180076628352,0.0007959536998847742
phase1,4,0.8718155051861951,0.6620180475799836,0.8205966341997929,0.7279693486590039,0.000657963412215599
phase1,5,0.8156960137659062,0.7038556193601313,0.7996889444146577,0.6973180076628352,0.000505
phase1,6,0.7898804952709082,0.7260049220672683,0.7925004465826626,0.7164750957854407,0.0003520365877844011
phase1,7,0.7799670929005148,0.7276456111566858,0.7752481975317915,0.7241379310344828,0.00021404630011522585
phase1,8,0.7663720086815907,0.7210828547990156,0.7584885580329602,0.7279693486590039,0.00010453658778440107
phase1,9,0.7644509239896973,0.7251845775225595,0.7631448422811954,0.7126436781609196,3.4227024433899005e-05
phase1,10,0.7532420374019113,0.7243642329778507,0.7570621439780312,0.7318007662835249,1e-05
phase2,1,0.7095377857417137,0.7292863002461034,0.6093424196672622,0.7662835249042146,9.972883382072954e-05
phase2,2,0.5630630096321325,0.7916324856439705,0.558674367908317,0.7969348659003831,9.891830623632339e-05
phase2,3,0.44126317550453426,0.8506972928630024,0.4901009209996439,0.8007662835249042,9.757729755661011e-05
phase2,4,0.3418019722483997,0.8720262510254306,0.43237454889492055,0.8582375478927203,9.572050015330873e-05
phase2,5,0.3077943090829231,0.8917145200984413,0.41105230418087424,0.8659003831417624,9.336825748732972e-05
phase2,6,0.2675567241943303,0.9097621000820345,0.3707387160181542,0.8735632183908046,9.05463412215599e-05
phase2,7,0.22760997923172038,0.9228876127973749,0.3712230912085009,0.8812260536398467,8.728566886113101e-05
phase2,8,0.19144118467836324,0.9302707136997539,0.34129306885246113,0.89272030651341,8.362196501476347e-05
phase2,9,0.19548237340874708,0.9368334700574241,0.35044991270678255,0.9080459770114943,7.959536998847741e-05
phase2,10,0.18411802957055998,0.9319114027891715,0.38443905019497504,0.8888888888888888,7.524999999999999e-05
phase2,11,0.16337342004095365,0.9425758818703855,0.3427083767286834,0.9003831417624522,7.06334638322521e-05
phase2,12,0.13328137831843417,0.955701394585726,0.32461482803141023,0.896551724137931,6.579634122155988e-05
phase2,13,0.14635616218192934,0.948318293683347,0.35457301333232627,0.89272030651341,6.079162869547907e-05
phase2,14,0.12763471235204074,0.9606234618539786,0.36938114078194473,0.8850574712643678,5.567415893174884e-05
phase2,15,0.10522229535546432,0.9655455291222313,0.3404515353941369,0.9003831417624522,5.05e-05
phase2,16,0.09699173157972034,0.9663658736669402,0.34705360152426806,0.9080459770114943,4.532584106825115e-05
phase2,17,0.09120473118958852,0.9721082854799016,0.3539245200603915,0.9003831417624522,4.0208371304520894e-05
phase2,18,0.0914851483309044,0.9671862182116489,0.3537593193109579,0.9118773946360154,3.520365877844009e-05
phase2,19,0.09505871525057229,0.9680065627563577,0.3402155410441288,0.9080459770114943,3.036653616774789e-05
phase2,20,0.07493879914381545,0.9786710418375718,0.379416161448734,0.8850574712643678,2.5750000000000002e-05
phase2,21,0.0956103191500907,0.9663658736669402,0.36502464851757005,0.9042145593869731,2.140463001152258e-05
phase2,22,0.08664458650267447,0.9737489745693191,0.3709321096111303,0.9042145593869731,1.737803498523653e-05
phase2,23,0.06948868933395835,0.977850697292863,0.359621157188154,0.896551724137931,1.3714331138868993e-05
phase2,24,0.07104713956873568,0.9786710418375718,0.34254506928310996,0.8888888888888888,1.0453658778440105e-05
phase2,25,0.07114505113833648,0.9696472518457753,0.3487770326392747,0.9080459770114943,7.631742512670283e-06
phase2,26,0.061306834343127094,0.9803117309269893,0.34152473413681617,0.9042145593869731,5.2794998466912506e-06
phase2,27,0.06976385445160588,0.977850697292863,0.36795489924114155,0.9003831417624522,3.4227024433898994e-06
phase2,28,0.0624490351193845,0.9794913863822805,0.3555055563248894,0.896551724137931,2.0816937636766182e-06
phase2,29,0.06780528766580592,0.9803117309269893,0.3601597004455882,0.9003831417624522,1.2711661792704665e-06
phase2,30,0.05599879025435037,0.9819524200164069,0.3534533346635628,0.89272030651341,1e-06
